id,overview,tagline,title,comb
406563,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",Fear comes home.,Insidious: The Last Key,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.Fear comes home."
426258,"Mysterious events surround the travels of two brothers as they make their way across a remote American landscape. On the surface all seems normal, but what appears to be a simple vacation soon gives way to a dark and complex web of secrets. This is the feature film version of the 2011 short film going by the same name.",,The Strange Ones,"Mysterious events surround the travels of two brothers as they make their way across a remote American landscape. On the surface all seems normal, but what appears to be a simple vacation soon gives way to a dark and complex web of secrets. This is the feature film version of the 2011 short film going by the same name."
348389,A British Special Boat Service commando tracks down an international terrorist cell.,The enemy has a weapon. So do we.,Stratton,A British Special Boat Service commando tracks down an international terrorist cell.The enemy has a weapon. So do we.
468210,"In 1929 in the outback of the Northern Territory, Australia, Aboriginal stockman Sam kills white station owner Harry March in self defense. Pursued across the outback, him and his wife Lizzie go on the run through the glorious but harsh desert country.",Justice itself is put on trial,Sweet Country,"In 1929 in the outback of the Northern Territory, Australia, Aboriginal stockman Sam kills white station owner Harry March in self defense. Pursued across the outback, him and his wife Lizzie go on the run through the glorious but harsh desert country.Justice itself is put on trial"
399035,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.",Lives are on the line,The Commuter,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.Lives are on the line"
442064,"Mary is a hit woman working for an organized crime family in Boston, whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad.",Killing for the Man every Night and Day,Proud Mary,"Mary is a hit woman working for an organized crime family in Boston, whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad.Killing for the Man every Night and Day"
479040,"When his fiancee is kidnapped by human traffickers, Roman and his ex-military brothers set out to track her down and save her before it is too late. Along the way, Roman teams up with Avery, a cop investigating human trafficking and fighting the corrupt bureaucracy that has harmful intentions.",Protect what's yours.,Acts of Violence,"When his fiancee is kidnapped by human traffickers, Roman and his ex-military brothers set out to track her down and save her before it is too late. Along the way, Roman teams up with Avery, a cop investigating human trafficking and fighting the corrupt bureaucracy that has harmful intentions.Protect what's yours."
440424,"The story of teenager Billy Bloom who, despite attending an ultra conservative high school, makes the decision to run for homecoming queen.",,Freak Show,"The story of teenager Billy Bloom who, despite attending an ultra conservative high school, makes the decision to run for homecoming queen."
460216,"With an interminable case of writer's block and a personal family crisis, playwright Nate is forced to move into his father's retirement community.",,Humor Me,"With an interminable case of writer's block and a personal family crisis, playwright Nate is forced to move into his father's retirement community."
436355,"Brazil 1821. Upon his return to the imposing farmhouse, Antonio, a rich cattle herder, finds out that his wife dies in labor. Forced to live in the property with numerous African slaves, he marries his wife's niece. A restless soul, he returns to droving, leaving his young wife behind alone with the slaves.",,Vazante,"Brazil 1821. Upon his return to the imposing farmhouse, Antonio, a rich cattle herder, finds out that his wife dies in labor. Forced to live in the property with numerous African slaves, he marries his wife's niece. A restless soul, he returns to droving, leaving his young wife behind alone with the slaves."
