id,overview,tagline,title,comb
522681,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.",Find The Clues Or Die,Escape Room,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.Find The Clues Or Die"
561362,"When an overachieving college senior makes a wrong turn, her road trip becomes a life-changing fight for survival in rural Kentucky.",Choose your prey carefully,Rust Creek,"When an overachieving college senior makes a wrong turn, her road trip becomes a life-changing fight for survival in rural Kentucky.Choose your prey carefully"
567738,"An unidentified man posts a live feed on social media showing that he has kidnapped two strangers and intends to kill one before the day is out. His intention is to hold a capital 'trial' online. As the authorities recognize what's happening, it becomes apparent that the online public is going to act as judge and jury.",A new kind of trial,American Hangman,"An unidentified man posts a live feed on social media showing that he has kidnapped two strangers and intends to kill one before the day is out. His intention is to hold a capital 'trial' online. As the authorities recognize what's happening, it becomes apparent that the online public is going to act as judge and jury.A new kind of trial"
508763,"The adventure of Bella, a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human.",A lot can happen between lost and found.,A Dog's Way Home,"The adventure of Bella, a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human.A lot can happen between lost and found."
440472,"Phillip is a wealthy quadriplegic who needs a caretaker to help him with his day-to-day routine in his New York penthouse. He decides to hire Dell, a struggling parolee who's trying to reconnect with his ex and his young son. Despite coming from two different worlds, an unlikely friendship starts to blossom.",Based on a true story.,The Upside,"Phillip is a wealthy quadriplegic who needs a caretaker to help him with his day-to-day routine in his New York penthouse. He decides to hire Dell, a struggling parolee who's trying to reconnect with his ex and his young son. Despite coming from two different worlds, an unlikely friendship starts to blossom.Based on a true story."
300681,A scientist becomes obsessed with returning his family to normalcy after a terrible accident.,Some humans are unstoppable,Replicas,A scientist becomes obsessed with returning his family to normalcy after a terrible accident.Some humans are unstoppable
414777,"As the Sun burns out, an American family gathers at the end of the world, their hopes for rescue slowly crumbling as they also confront long lasting divides amongst each other.",Hope begins at the end of the world,After Darkness,"As the Sun burns out, an American family gathers at the end of the world, their hopes for rescue slowly crumbling as they also confront long lasting divides amongst each other.Hope begins at the end of the world"
661374,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,,Glass,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.
901563,"Two thirteen year olds have always been incredibly close but they drift apart after the intimacy of their relationship is questioned by schoolmates. When tragedy strikes, one is forced to confront why he distanced himself from his closest friend.",,Close,"Two thirteen year olds have always been incredibly close but they drift apart after the intimacy of their relationship is questioned by schoolmates. When tragedy strikes, one is forced to confront why he distanced himself from his closest friend."
516630,"After a mass shooting at a police funeral, reclusive ex-cop Gannon finds himself unwittingly forced out of retirement when he realizes that the killer belongs to the same militia he joined after quitting the force. Understanding that the shooting could set off a chain reaction of copycat violence across the country, Gannon quarantines his fellow militiamen in the remote lumber mill they call their headquarters. There, he sets about a series of grueling interrogations, intent on ferreting out the killer and turning him over to the authorities to prevent further bloodshed.",,The Standoff at Sparrow Creek,"After a mass shooting at a police funeral, reclusive ex-cop Gannon finds himself unwittingly forced out of retirement when he realizes that the killer belongs to the same militia he joined after quitting the force. Understanding that the shooting could set off a chain reaction of copycat violence across the country, Gannon quarantines his fellow militiamen in the remote lumber mill they call their headquarters. There, he sets about a series of grueling interrogations, intent on ferreting out the killer and turning him over to the authorities to prevent further bloodshed."
